name, codename, country, iata, icao, type
Herat Airport,Herat,Afghanistan,HEA,OAHR,airport
Jalalabad Airport,Jalalabad,Afghanistan,JAA,OAJL,airport
Hamid Karzai International Airport,Kabul,Afghanistan,KBL,OAKB,airport
Kandahar Airport,Kandahar,Afghanistan,KDH,OAKN,airport
Maimana Airport,Maimama,Afghanistan,MMZ,OAMN,airport
Mazar I Sharif Airport,Mazar-i-sharif,Afghanistan,MZR,OAMS,airport
Shindand Airport,Shindand,Afghanistan,OAH,OASD,airport
Konduz Airport,Kunduz,Afghanistan,UND,OAUZ,airport
Fayzabad Airport,Faizabad,Afghanistan,FBD,OAFZ,airport
Bagram Air Base,Kabul,Afghanistan,OAI,OAIX,airport
Tarin Kowt Airport,Tarin Kowt,Afghanistan,TII,OATN,airport
Zaranj Airport,Zaranj,Afghanistan,ZAJ,OAZJ,airport
Chakcharan Airport,Chaghcharan,Afghanistan,CCN,OACC,airport
Camp Bastion Airport,Camp Bastion,Afghanistan,OAZ,OAZI,airport
Khost Airport,Khost,Afghanistan,KHT,OAKS,airport
Sharana Airstrip,Sharona,Afghanistan,OAS,OASA,airport
Shank Air Base,Shank,Afghanistan,OAA,OASH,airport
Bost Airport,Lashkar Gah,Afghanistan,BST,OABT,airport
Bamiyan Airport,Bamyan,Afghanistan,BIN,OABN,airport
Farah Airport,Farah,Afghanistan,FAH,OAFR,airport
Ghazni Airport,Ghazni,Afghanistan,GZI,OAGN,airport
Tirana International Airport Mother Teresa,Tirana,Albania,TIA,LATI,airport
Blida Airport,Blida,Algeria,QLD,DAAB,airport
Bou Saada Airport,Bou Saada,Algeria,BUJ,DAAD,airport
Soummam Airport,Bejaja,Algeria,BJA,DAAE,airport
Houari Boumediene Airport,Algier,Algeria,ALG,DAAG,airport
Djanet Inedbirene Airport,Djanet,Algeria,DJG,DAAJ,airport
Illizi Takhamalt Airport,Illizi,Algeria,VVZ,DAAP,airport
Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,DAAT,airport
Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,DAAV,airport
Mecheria Airport,Mecheria,Algeria,MZW,DAAY,airport
Rabah Bitat Airport,Annaba,Algeria,AAE,DABB,airport
Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,DABC,airport
Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,DABS,airport
Hassi R'Mel Airport,Tilrempt,Algeria,HRM,DAFH,airport
Bou Chekif Airport,Tiaret,Algeria,TID,DAOB,airport
Tindouf Airport,Tindouf,Algeria,TIN,DAOF,airport
Ech Cheliff Airport,Ech-cheliff,Algeria,CFK,DAOI,airport
Tafaraoui Airport,Oran,Algeria,TAF,DAOL,airport
Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,DAON,airport
Es Senia Airport,Oran,Algeria,ORN,DAOO,airport
Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,BFW,DAOS,airport
Ghriss Airport,Ghriss,Algeria,MUW,DAOV,airport
Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,DAUA,airport
Biskra Airport,Biskra,Algeria,BSK,DAUB,airport
El Golea Airport,El Golea,Algeria,ELG,DAUE,airport
Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,DAUG,airport
Oued Irara Airport,Hassi Messaoud,Algeria,HME,DAUH,airport
In Salah Airport,In Salah,Algeria,INZ,DAUI,airport
Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,DAUK,airport
Laghouat Airport,Laghouat,Algeria,LOO,DAUL,airport
Timimoun Airport,Timimoun,Algeria,TMX,DAUT,airport
Ain el Beida Airport,Ouargla,Algeria,OGX,DAUU,airport
In Aménas Airport,Zarzaitine,Algeria,IAM,DAUZ,airport
Batna Airport,Batna,Algeria,BLJ,DABT,airport
Béchar Boudghene Ben Ali Lotfi Airport,Béchar,Algeria,CBH,DAOR,airport
Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,Algeria,BMW,DATM,airport
Guemar Airport,Guemar,Algeria,ELU,DAUO,airport
Ain Arnat Airport,Setif,Algeria,QSF,DAAS,airport
Tsletsi Airport,Djelfa,Algeria,QDJ,DAFI,airport
El Bayadh Airport,El Bayadh,Algeria,EBH,DAOY,airport
Pago Pago International Airport,Pago Pago,American Samoa,PPG,NSTU,airport
Fitiuta Airport,Fiti\'uta,American Samoa,FTI,NSFQ,airport
Mbanza Congo Airport,M'banza-congo,Angola,SSY,FNBC,airport
Benguela Airport,Benguela,Angola,BUG,FNBG,airport
Cabinda Airport,Cabinda,Angola,CAB,FNCA,airport
Nova Lisboa Airport,Huambo,Angola,NOV,FNHU,airport
Kuito Airport,Kuito,Angola,SVP,FNKU,airport
Quatro de Fevereiro Airport,Luanda,Angola,LAD,FNLU,airport
Malanje Airport,Malanje,Angola,MEG,FNMA,airport
Menongue Airport,Menongue,Angola,SPP,FNME,airport
Negage Airport,Negage,Angola,GXG,FNNG,airport
Porto Amboim Airport,Porto Amboim,Angola,PBN,FNPA,airport
Saurimo Airport,Saurimo,Angola,VHC,FNSA,airport
Soyo Airport,Soyo,Angola,SZA,FNSO,airport
Lubango Airport,Lubango,Angola,SDD,FNUB,airport
Luena Airport,Luena,Angola,LUO,FNUE,airport
Uige Airport,Uige,Angola,UGO,FNUG,airport
Xangongo Airport,Xangongo,Angola,XGN,FNXA,airport
Catumbela Airport,Catumbela,Angola,CBT,FNCT,airport
Dundo Airport,Dundo,Angola,DUE,FNDU,airport
Ngjiva Pereira Airport,Ondjiva,Angola,VPE,FNGI,airport
Namibe Airport,Mocamedes,Angola,MSZ,FNMO,airport
Nzagi Airport,Nzagi,Angola,NZA,FNZG,airport
Lucapa Airport,Lucapa,Angola,LBZ,FNLK,airport
Capanda Airport,Kapanda,Angola,KNP,FNCP,airport
Sumbe Airport,Sumbe,Angola,NDD,FNSU,airport
Clayton J Lloyd International Airport,The Valley,Anguilla,AXA,TQPF,airport
Teniente Rodolfo Marsh Martin Base,Isla Rey Jorge,Antarctica,TNM,SCRM,airport
V.C. Bird International Airport,Antigua,Antigua and Barbuda,ANU,TAPA,airport
Codrington Airport,Codrington,Antigua and Barbuda,BBQ,TAPH,airport
Comodoro Pierrestegui Airport,Concordia,Argentina,COC,SAAC,airport
Gualeguaychu Airport,Gualeguaychu,Argentina,GHU,SAAG,airport
